Time,Edogawa,Nakagawa,Arakawa,Sumidagawa,Tamagawa,Tsurumigawa
01/01/2014 00:00,12.732,40.466,19.751,5.984,14.067,5.21
01/01/2014 01:00,10.992,35.826,19.751,5.166,15.228,5.64
01/01/2014 02:00,10.992,34.946,19.751,5.166,14.337,5.31
01/01/2014 03:00,10.342,34.246,19.934,4.861,16.146,5.98
01/01/2014 04:00,10.342,33.826,19.934,4.861,34.614,12.82
01/01/2014 05:00,10.342,34.966,23.121,4.861,44.118,16.34
01/01/2014 06:00,9.692,38.156,22.914,4.555,45.657,16.91
01/01/2014 07:00,9.692,47.116,22.698,4.555,39.582,14.66
01/01/2014 08:00,9.692,58.036,23.088,4.555,25.11,9.3
01/01/2014 09:00,9.692,58.706,22.673,4.555,15.687,5.81
01/01/2014 10:00,9.692,52.566,22.673,4.555,10.638,3.94
01/01/2014 11:00,9.692,47.546,23.063,4.555,9.18,3.4
01/01/2014 12:00,9.692,43.546,22.855,4.555,10.638,3.94
01/01/2014 13:00,10.342,40.576,22.648,4.861,17.118,6.34
01/01/2014 14:00,10.342,38.626,23.038,4.861,33.264,12.32
01/01/2014 15:00,10.992,40.036,19.859,5.166,47.25,17.5
01/01/2014 16:00,10.992,46.606,19.859,5.166,54.729,20.27
01/01/2014 17:00,10.992,57.196,19.859,5.166,48.87,18.1
01/01/2014 18:00,10.992,68.846,19.859,5.166,33.264,12.32
01/01/2014 19:00,10.992,68.716,19.859,5.166,23.382,8.66
01/01/2014 20:00,11.652,61.256,19.859,5.476,14.337,5.31
01/01/2014 21:00,11.652,53.626,19.859,5.476,11.826,4.38
01/01/2014 22:00,11.652,47.516,19.859,5.476,11.421,4.23
01/01/2014 23:00,12.322,42.626,19.859,5.791,11.421,4.23
01/02/2014 00:00,12.322,39.376,19.859,5.791,11.421,4.23
01/02/2014 01:00,12.992,37.166,19.859,6.106,11.826,4.38
01/02/2014 02:00,12.992,35.666,19.859,6.106,12.636,4.68
01/02/2014 03:00,12.992,34.696,20.033,6.106,12.231,4.53
01/02/2014 04:00,12.992,33.856,20.033,6.106,17.604,6.52
01/02/2014 05:00,12.992,33.576,20.033,6.106,34.614,12.82
01/02/2014 06:00,12.322,35.036,20.033,5.791,49.68,18.4
01/02/2014 07:00,11.652,39.346,20.033,5.476,48.87,18.1
01/02/2014 08:00,10.992,49.836,22.839,5.166,36.72,13.6
01/02/2014 09:00,10.342,60.266,20.033,4.861,22.275,8.25
01/02/2014 10:00,9.692,58.496,20.033,4.555,12.636,4.68
01/02/2014 11:00,49.032,52.016,23.046,23.045,9.909,3.67
01/02/2014 12:00,9.692,46.606,22.839,4.555,10.638,3.94
01/02/2014 13:00,10.342,42.136,20.033,4.861,11.826,4.38
01/02/2014 14:00,10.342,39.206,20.033,4.861,15.228,5.64
01/02/2014 15:00,10.342,37.246,20.033,4.861,33.939,12.57
01/02/2014 16:00,10.342,37.176,20.033,4.861,45.657,16.91
01/02/2014 17:00,10.342,40.046,19.859,4.861,53.892,19.96
01/02/2014 18:00,9.692,48.506,19.859,4.555,43.335,16.05
01/02/2014 19:00,9.692,59.146,19.859,4.555,28.728,10.64
01/02/2014 20:00,9.692,60.006,20.033,4.555,17.604,6.52
01/02/2014 21:00,9.692,53.546,20.033,4.555,12.636,4.68
01/02/2014 22:00,10.342,47.506,20.033,4.861,11.826,4.38
01/02/2014 23:00,28.512,42.866,20.033,13.401,12.231,4.53
01/03/2014 00:00,10.992,39.466,20.033,5.166,13.041,4.83
01/03/2014 01:00,10.992,37.216,20.033,5.166,13.905,5.15
01/03/2014 02:00,11.652,35.756,20.033,5.476,13.905,5.15
01/03/2014 03:00,11.652,34.446,20.033,5.476,13.473,4.99
01/03/2014 04:00,11.652,33.756,20.033,5.476,13.041,4.83
01/03/2014 05:00,11.652,33.156,20.033,5.476,22.275,8.25
01/03/2014 06:00,10.992,32.956,20.033,5.166,39.582,14.66
01/03/2014 07:00,10.992,34.276,20.033,5.166,45.657,16.91
01/03/2014 08:00,10.342,38.956,20.033,4.861,37.422,13.86
01/03/2014 09:00,9.692,49.026,20.033,4.555,28.728,10.64
01/03/2014 10:00,9.042,55.196,20.033,4.25,15.687,5.81
01/03/2014 11:00,9.042,51.066,20.033,4.25,11.421,4.23
01/03/2014 12:00,9,46.176,20.033,4.23,11.016,4.08
01/03/2014 13:00,9,42.036,20.033,4.23,11.826,4.38
01/03/2014 14:00,9.042,39.026,20.033,4.25,13.041,4.83
01/03/2014 15:00,9.042,37.096,20.033,4.25,17.604,6.52
01/03/2014 16:00,9.692,35.686,20.033,4.555,38.124,14.12
01/03/2014 17:00,9.692,36.836,20.033,4.555,60.048,22.24
01/03/2014 18:00,9.692,41.726,20.033,4.555,63.693,23.59
01/03/2014 19:00,9.692,52.826,19.859,4.555,44.118,16.34
01/03/2014 20:00,9.692,65.546,19.859,4.555,29.997,11.11
01/03/2014 21:00,9.692,63.656,19.859,4.555,17.604,6.52
01/03/2014 22:00,9.692,55.786,19.859,4.555,13.473,4.99
01/03/2014 23:00,9.692,49.066,19.859,4.555,12.636,4.68
01/04/2014 00:00,9.692,43.656,17.743,4.555,13.041,4.83
01/04/2014 01:00,10.342,39.846,17.602,4.861,13.473,4.99
01/04/2014 02:00,10.342,37.456,17.751,4.861,13.473,4.99
01/04/2014 03:00,10.342,35.636,17.751,4.861,13.041,4.83
01/04/2014 04:00,10.342,34.476,17.61,4.861,12.636,4.68
