Time,Edogawa,Nakagawa,Arakawa,Sumidagawa,Tamagawa,Tsurumigawa
01/01/2014 00:00,8.09,11.29,11.29,10.19,10.69,11.09
01/01/2014 01:00,8.04,10.04,10.04,10.44,9.24,9.84
01/01/2014 02:00,7.79,9.89,9.89,9.89,8.69,10.09
01/01/2014 03:00,7.69,10.19,10.19,8.99,9.09,10.19
01/01/2014 04:00,7.44,11.44,11.44,11.44,9.54,10.04
01/01/2014 05:00,7.54,13.04,13.04,12.14,12.24,10.34
01/01/2014 06:00,8.29,11.59,11.59,12.09,12.09,10.09
01/01/2014 07:00,8.54,12.34,12.34,11.84,12.54,10.34
01/01/2014 08:00,10.53,11.73,11.73,10.63,12.83,10.03
01/01/2014 09:00,11.62,12.52,12.52,10.92,12.82,11.12
01/01/2014 10:00,12.42,13.02,13.02,12.02,13.42,12.72
01/01/2014 11:00,12.86,13.46,13.46,12.86,14.46,13.76
01/01/2014 12:00,13.11,13.81,13.81,14.31,14.91,13.71
01/01/2014 13:00,13.26,14.56,14.56,14.66,14.96,14.16
01/01/2014 14:00,13.41,14.31,14.31,15.11,14.61,14.31
01/01/2014 15:00,13.36,13.86,13.86,14.56,14.26,13.66
01/01/2014 16:00,13.06,12.96,12.96,14.36,13.66,12.96
01/01/2014 17:00,12.81,12.61,12.61,13.81,12.71,11.81
01/01/2014 18:00,12.32,12.22,12.22,12.72,12.42,11.42
01/01/2014 19:00,11.67,12.07,12.07,12.57,12.47,11.37
01/01/2014 20:00,9.98,11.88,11.88,11.78,13.98,11.98
01/01/2014 21:00,9.58,11.78,11.78,10.58,13.18,12.58
01/01/2014 22:00,9.08,10.58,10.58,10.48,12.88,12.78
01/01/2014 23:00,8.59,12.99,12.99,13.19,13.49,12.99
01/02/2014 00:00,8.34,12.74,12.74,12.84,13.44,12.74
01/02/2014 01:00,8.39,11.59,11.59,12.29,11.79,12.49
01/02/2014 02:00,8.49,11.09,11.09,11.39,11.89,11.59
01/02/2014 03:00,7.59,8.59,8.59,9.79,11.69,12.19
01/02/2014 04:00,7.64,9.04,9.04,8.94,10.54,11.44
01/02/2014 05:00,7.69,10.79,10.79,8.99,10.59,11.99
01/02/2014 06:00,7.05,8.95,8.95,9.55,11.15,14.25
01/02/2014 07:00,6.9,11,11,10,10.8,14.5
01/02/2014 08:00,8.39,10.99,10.99,9.79,11.99,13.29
01/02/2014 09:00,10.23,12.83,12.83,10.93,12.03,12.73
01/02/2014 10:00,11.57,10.97,10.97,9.97,12.27,13.17
01/02/2014 11:00,11.77,12.57,12.57,11.57,12.67,12.17
01/02/2014 12:00,12.27,12.57,12.57,12.27,11.97,12.67
01/02/2014 13:00,12.27,12.57,12.57,12.47,12.77,12.97
01/02/2014 14:00,12.22,12.72,12.72,12.22,12.62,12.92
01/02/2014 15:00,11.82,12.32,12.32,12.02,12.32,12.92
01/02/2014 16:00,11.22,11.62,11.62,11.92,12.22,12.22
01/02/2014 17:00,10.58,10.88,10.88,11.28,11.78,11.38
01/02/2014 18:00,10.03,10.73,10.73,11.23,11.73,11.03
01/02/2014 19:00,9.68,10.28,10.28,10.78,11.38,10.58
01/02/2014 20:00,9.38,9.98,9.98,10.58,10.58,10.18
01/02/2014 21:00,8.64,10.44,10.44,10.84,10.94,10.34
01/02/2014 22:00,8.44,10.24,10.24,11.04,11.34,10.14
01/02/2014 23:00,8.39,9.89,9.89,10.89,11.29,10.29
01/03/2014 00:00,8.29,9.99,9.99,10.69,10.89,10.39
01/03/2014 01:00,7.99,10.09,10.09,10.69,11.19,10.69
01/03/2014 02:00,7.44,10.24,10.24,10.84,11.24,10.94
01/03/2014 03:00,7.79,9.79,9.79,10.59,11.19,10.39
01/03/2014 04:00,7.99,9.09,9.09,10.09,10.69,9.89
01/03/2014 05:00,7.84,8.64,8.64,10.14,10.54,9.44
01/03/2014 06:00,6.95,8.35,8.35,10.45,11.15,10.55
01/03/2014 07:00,6.95,7.25,7.25,10.35,10.75,11.05
01/03/2014 08:00,7.59,9.19,9.19,9.89,10.19,10.69
01/03/2014 09:00,9.03,9.13,9.13,8.83,9.03,9.73
01/03/2014 10:00,9.13,9.43,9.43,9.13,10.13,10.33
01/03/2014 11:00,9.43,10.13,10.13,9.43,10.13,10.43
01/03/2014 12:00,9.83,9.53,9.53,9.23,9.93,10.83
01/03/2014 13:00,10.08,10.08,10.08,10.18,10.18,11.78
01/03/2014 14:00,10.43,10.53,10.53,10.33,10.13,11.43
01/03/2014 15:00,10.83,10.73,10.73,10.73,10.03,11.13
01/03/2014 16:00,10.58,11.08,11.08,10.98,10.58,10.78
01/03/2014 17:00,9.78,10.78,10.78,11.08,11.48,10.98
01/03/2014 18:00,9.38,10.28,10.28,11.08,11.68,11.38
01/03/2014 19:00,8.89,10.49,10.49,11.39,11.79,11.29
01/03/2014 20:00,8.59,9.79,9.79,10.79,11.79,10.99
01/03/2014 21:00,8.44,10.04,10.04,11.54,11.54,11.44
01/03/2014 22:00,8.54,9.94,9.94,10.84,11.64,10.34
01/03/2014 23:00,7.99,9.59,9.59,10.09,11.99,10.29
01/04/2014 00:00,7.94,9.44,9.44,9.34,11.54,10.24
01/04/2014 01:00,7.99,9.79,9.79,9.69,9.79,9.89
01/04/2014 02:00,7.74,9.44,9.44,9.04,10.44,9.84
01/04/2014 03:00,7.79,10.19,10.19,9.09,9.69,9.89
01/04/2014 04:00,7.69,9.39,9.39,8.99,9.19,9.69
01/04/2014 05:00,6.75,9.35,9.35,9.05,10.05,10.45
01/04/2014 06:00,6.6,9.3,9.3,9.2,9.4,10.6
01/04/2014 07:00,6.85,9.15,9.15,9.15,10.15,10.45
01/04/2014 08:00,7.59,10.09,10.09,10.39,9.49,10.49
01/04/2014 09:00,8.09,10.99,10.99,11.59,11.89,11.29
01/04/2014 10:00,8.94,10.04,10.04,10.34,11.74,11.54
01/04/2014 11:00,10.73,10.23,10.23,9.73,9.83,11.43
01/04/2014 12:00,11.07,11.97,11.97,11.47,11.37,12.47
01/04/2014 13:00,11.47,11.97,11.97,11.97,11.57,12.67
01/04/2014 14:00,12.07,12.57,12.57,12.57,11.67,12.57
01/04/2014 15:00,12.07,12.17,12.17,12.27,12.07,12.77
01/04/2014 16:00,11.87,12.07,12.07,11.87,12.37,11.87
01/04/2014 17:00,11.32,11.42,11.42,11.62,11.92,11.02
01/04/2014 18:00,10.63,11.43,11.43,11.33,11.73,10.93
01/04/2014 19:00,10.33,10.73,10.73,10.63,11.13,10.33
01/04/2014 20:00,9.78,10.58,10.58,10.38,10.98,10.28
01/04/2014 21:00,9.48,9.78,9.78,10.08,10.48,9.68
01/04/2014 22:00,8.99,9.49,9.49,9.89,10.29,9.49
01/04/2014 23:00,8.49,9.69,9.69,9.99,9.99,9.69
01/05/2014 00:00,8.04,9.54,9.54,10.34,10.54,9.84
01/05/2014 01:00,7.99,9.49,9.49,9.99,10.29,9.29
01/05/2014 02:00,7.74,9.44,9.44,9.94,10.64,9.44
